security_code,security_name_abbr,apply_date,issue_result_date,listing_date,issue_price,total_issue_num_wan,online_issue_shares,online_issue_source,issue_amount_yi,top_apply_amount_wan,top_apply_source,top_apply_shares,online_valid_accounts,online_allocated_accounts,online_valid_shares,online_valid_source,frozen_funds_yi,allocation_rate_pct,subscription_multiple,lock_days,guaranteed_threshold_shares,guaranteed_threshold_amount_wan,guaranteed_threshold_reachable,top_apply_below_guaranteed,top_apply_gap_shares,top_apply_gap_amount_wan,fractional_threshold_shares,fractional_threshold_amount_wan,fractional_threshold_source,fractional_time_priority_required,time_priority_scope,subscription_distribution_json,distribution_bucket_count,allocation_fit_json,allocation_fit_quality,allocation_fit_confidence,allocation_fit_usable_for_tuning,allocation_fit_residual_json,allocation_fit_bucket_count,unallocated_avg_amount_wan,allocation_fit_ready,model_mode,model_ready,guaranteed_label_ready,fractional_label_ready,data_quality,missing_fields,prospectus_pdf_found,issue_pdf_found,result_pdf_found,listing_pdf_found,prospectus_pdf_file,issue_pdf_file,result_pdf_file,listing_pdf_file,parse_errors,download_errors
920086,科马材料,2026-01-06,2026-01-09,2026-01-16,11.66,2092,18828000,ONLINE_ISSUE_NUM,2.195345,1097.6724,replay_dataset,941400,624494,81904,73393241000,issue_result:result,8557.651901,0.025654,3898.090132,3,389900,454.6234,true,false,,,559700,652.6102,model_estimate_without_distribution,false,none,[],0,"{""available"":true,""method"":""account_lot_equation"",""fit_quality"":""rough_lot_account_fit"",""fit_confidence"":0.7,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.057345},""allocated_accounts"":81904,""allocated_lots_total"":188280,""average_lots_per_allocated_account"":2.298788825942567,""unallocated_accounts"":542590,""unallocated_avg_shares"":22353.086123961002,""unallocated_avg_amount_wan"":26.06369842053853,""unallocated_cap_shares"":389800,""residual_over_cap_shares"":0.0,""top_apply_below_guaranteed"":false,""buckets"":[{""allocated_lots"":3,""accounts"":53188,""threshold_shares"":941400,""threshold_amount_wan"":1097.6724,""basis"":""compressed_extra_lots""},{""allocated_lots"":1,""accounts"":28716,""threshold_shares"":389800,""threshold_amount_wan"":454.5068,""basis"":""fractional_cutoff_estimate""}]}",rough_lot_account_fit,0.7,true,"{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.057345}",2,26.063698,true,actual,true,true,true,ready_guaranteed,SUBSCRIPTION_AMOUNT_DISTRIBUTION/FRACTIONAL_THRESHOLD_SHARES|FRACTIONAL_TIME_PRIORITY_REQUIRED,true,true,true,true,920086_科马材料_招股说明书.pdf,920086_科马材料_发行公告.pdf,920086_科马材料_发行结果公告.pdf,920086_科马材料_上市公告书.pdf,,
920050,爱伦医疗,2026-01-12,2026-01-15,2026-01-21,15.98,1691.9834,15227851,ONLINE_ISSUE_NUM,2.433411,1216.5574,replay_dataset,761300,695842,70886,55001338900,issue_result:result,8789.213956,0.027686,3611.891061,3,361200,577.1976,true,false,,,624300,997.6314,model_estimate_without_distribution,false,none,[],0,"{""available"":true,""method"":""account_lot_equation"",""fit_quality"":""rough_lot_account_fit"",""fit_confidence"":0.7,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.058127},""allocated_accounts"":70886,""allocated_lots_total"":152279,""average_lots_per_allocated_account"":2.148223908811331,""unallocated_accounts"":624956,""unallocated_avg_shares"":20989.483739655272,""unallocated_avg_amount_wan"":33.54119501596913,""unallocated_cap_shares"":361100,""residual_over_cap_shares"":0.0,""top_apply_below_guaranteed"":false,""buckets"":[{""allocated_lots"":3,""accounts"":40696,""threshold_shares"":761300,""threshold_amount_wan"":1216.5574,""basis"":""compressed_extra_lots""},{""allocated_lots"":2,""accounts"":1,""threshold_shares"":722400,""threshold_amount_wan"":1154.3952,""basis"":""compressed_extra_lots""},{""allocated_lots"":1,""accounts"":30189,""threshold_shares"":361100,""threshold_amount_wan"":577.0378,""basis"":""fractional_cutoff_estimate""}]}",rough_lot_account_fit,0.7,true,"{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.058127}",3,33.541195,true,actual,true,true,true,ready_guaranteed,SUBSCRIPTION_AMOUNT_DISTRIBUTION/FRACTIONAL_THRESHOLD_SHARES|FRACTIONAL_TIME_PRIORITY_REQUIRED,true,true,true,true,920050_爱舍伦_招股说明书.pdf,920050_爱舍伦_发行公告.pdf,920050_爱舍伦_发行结果公告.pdf,920050_爱舍伦_上市公告书.pdf,,
920076,国亮新材,2026-01-14,2026-01-19,2026-01-22,10.76,1804.4853,16240368,ONLINE_ISSUE_NUM,1.747464,873.712,replay_dataset,812000,728083,88524,76958830600,issue_result:result,8280.770173,0.021103,4738.736869,5,473900,509.9164,true,false,,,93000,100.068,model_estimate_without_distribution,false,none,[],0,"{""available"":true,""method"":""account_lot_equation"",""fit_quality"":""rough_lot_account_fit"",""fit_confidence"":0.7,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.0331},""allocated_accounts"":88524,""allocated_lots_total"":162404,""average_lots_per_allocated_account"":1.8345759342099317,""unallocated_accounts"":639559,""unallocated_avg_shares"":15682.592849135108,""unallocated_avg_amount_wan"":16.874469905669375,""unallocated_cap_shares"":473800,""residual_over_cap_shares"":0.0,""top_apply_below_guaranteed"":false,""buckets"":[{""allocated_lots"":2,""accounts"":73880,""threshold_shares"":812000,""threshold_amount_wan"":873.712,""basis"":""compressed_extra_lots""},{""allocated_lots"":1,""accounts"":14644,""threshold_shares"":473800,""threshold_amount_wan"":509.8088,""basis"":""fractional_cutoff_estimate""}]}",rough_lot_account_fit,0.7,true,"{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.0331}",2,16.87447,true,actual,true,true,true,ready_guaranteed,SUBSCRIPTION_AMOUNT_DISTRIBUTION/FRACTIONAL_THRESHOLD_SHARES|FRACTIONAL_TIME_PRIORITY_REQUIRED,true,true,true,true,920076_国亮新材_招股说明书.pdf,920076_国亮新材_发行公告.pdf,920076_国亮新材_发行结果公告.pdf,920076_国亮新材_上市公告书.pdf,,
920159,农大科技,2026-01-19,2026-01-22,2026-01-28,25,1600,14400000,ONLINE_ISSUE_NUM,3.6,1800,replay_dataset,720000,545871,66731,37193579800,issue_result:result,9298.39495,0.038716,2582.887486,3,258300,645.75,true,false,,,415900,1039.75,model_estimate_without_distribution,false,none,[],0,"{""available"":true,""method"":""account_lot_equation"",""fit_quality"":""rough_lot_account_fit"",""fit_confidence"":0.7,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.017154},""allocated_accounts"":66731,""allocated_lots_total"":144000,""average_lots_per_allocated_account"":2.1579176095068258,""unallocated_accounts"":479140,""unallocated_avg_shares"":4429.1772759527485,""unallocated_avg_amount_wan"":11.07294318988187,""unallocated_cap_shares"":258200,""residual_over_cap_shares"":0.0,""top_apply_below_guaranteed"":false,""buckets"":[{""allocated_lots"":3,""accounts"":38634,""threshold_shares"":720000,""threshold_amount_wan"":1800.0,""basis"":""compressed_extra_lots""},{""allocated_lots"":2,""accounts"":1,""threshold_shares"":516600,""threshold_amount_wan"":1291.5,""basis"":""compressed_extra_lots""},{""allocated_lots"":1,""accounts"":28096,""threshold_shares"":258200,""threshold_amount_wan"":645.5,""basis"":""fractional_cutoff_estimate""}]}",rough_lot_account_fit,0.7,true,"{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.017154}",3,11.072943,true,actual,true,true,true,ready_guaranteed,SUBSCRIPTION_AMOUNT_DISTRIBUTION/FRACTIONAL_THRESHOLD_SHARES|FRACTIONAL_TIME_PRIORITY_REQUIRED,true,true,true,true,920159_农大科技_招股说明书.pdf,920159_农大科技_发行公告.pdf,920159_农大科技_发行结果公告.pdf,920159_农大科技_上市公告书.pdf,,
920119,美德乐,2026-01-21,2026-01-26,2026-01-30,41.88,1600,14400000,ONLINE_ISSUE_NUM,6.03072,3015.36,replay_dataset,720000,592450,60994,25283142800,issue_result:result,10588.580205,0.056955,1755.773806,5,175600,735.4128,true,false,,,351200,1470.8256,model_estimate_without_distribution,true,fractional_cutoff,[],0,"{""available"":true,""method"":""account_lot_equation"",""fit_quality"":""rough_lot_account_fit"",""fit_confidence"":0.7,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.03516},""allocated_accounts"":60994,""allocated_lots_total"":144000,""average_lots_per_allocated_account"":2.3608879561924123,""unallocated_accounts"":531456,""unallocated_avg_shares"":6170.642536729287,""unallocated_avg_amount_wan"":25.842650943822253,""unallocated_cap_shares"":175500,""residual_over_cap_shares"":0.0,""top_apply_below_guaranteed"":false,""buckets"":[{""allocated_lots"":5,""accounts"":20751,""threshold_shares"":720000,""threshold_amount_wan"":3015.36,""basis"":""compressed_extra_lots""},{""allocated_lots"":3,""accounts"":1,""threshold_shares"":526800,""threshold_amount_wan"":2206.2384,""basis"":""compressed_extra_lots""},{""allocated_lots"":1,""accounts"":40242,""threshold_shares"":175500,""threshold_amount_wan"":734.994,""basis"":""fractional_cutoff_estimate""}]}",rough_lot_account_fit,0.7,true,"{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.03516}",3,25.842651,true,actual,true,true,true,ready_guaranteed,SUBSCRIPTION_AMOUNT_DISTRIBUTION/FRACTIONAL_THRESHOLD_SHARES|FRACTIONAL_TIME_PRIORITY_REQUIRED,true,true,true,true,920119_美德乐_招股说明书.pdf,920119_美德乐_发行公告.pdf,920119_美德乐_发行结果公告.pdf,920119_美德乐_上市公告书.pdf,,
920180,爱得科技,2026-02-02,2026-02-05,2026-02-10,7.67,2953.0762,26577686,ONLINE_ISSUE_NUM,2.038509,1019.1896,replay_dataset,1328800,496718,97392,109213143900,issue_result:result,8376.648137,0.024336,4109.204387,3,411000,315.237,true,false,,,607200,465.7224,model_estimate_without_distribution,false,none,[],0,"{""available"":true,""method"":""account_lot_equation"",""fit_quality"":""rough_lot_account_fit"",""fit_confidence"":0.7,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.107717},""allocated_accounts"":97392,""allocated_lots_total"":265777,""average_lots_per_allocated_account"":2.7289407754230326,""unallocated_accounts"":399326,""unallocated_avg_shares"":44260.75161647376,""unallocated_avg_amount_wan"":33.947996489835376,""unallocated_cap_shares"":410900,""residual_over_cap_shares"":0.0,""top_apply_below_guaranteed"":false,""buckets"":[{""allocated_lots"":4,""accounts"":56128,""threshold_shares"":1328800,""threshold_amount_wan"":1019.1896,""basis"":""compressed_extra_lots""},{""allocated_lots"":2,""accounts"":1,""threshold_shares"":821900,""threshold_amount_wan"":630.3973,""basis"":""compressed_extra_lots""},{""allocated_lots"":1,""accounts"":41263,""threshold_shares"":410900,""threshold_amount_wan"":315.1603,""basis"":""fractional_cutoff_estimate""}]}",rough_lot_account_fit,0.7,true,"{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.107717}",3,33.947996,true,actual,true,true,true,ready_guaranteed,SUBSCRIPTION_AMOUNT_DISTRIBUTION/FRACTIONAL_THRESHOLD_SHARES|FRACTIONAL_TIME_PRIORITY_REQUIRED,true,true,true,true,920180_爱得科技_招股说明书.pdf,920180_爱得科技_发行公告.pdf,920180_爱得科技_发行结果公告.pdf,920180_爱得科技_上市公告书.pdf,,
920166,海圣医疗,2026-02-04,2026-02-09,2026-02-12,12.64,1129.4118,10164707,ONLINE_ISSUE_NUM,1.284819,642.3648,replay_dataset,508100,599409,101648,54254568700,issue_result:result,6857.777484,0.018735,5337.543788,5,533800,,false,true,25700,32.4848,508100,642.2384,top_apply_below_guaranteed_all_time_priority,true,all_top_apply_accounts,[],0,"{""available"":true,""method"":""top_apply_below_guaranteed"",""fit_quality"":""time_priority_label_with_account_gap"",""fit_confidence"":0.85,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":-1,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.010311},""allocated_accounts"":101648,""allocated_lots_total"":101647,""average_lots_per_allocated_account"":0.9999901621281284,""unallocated_accounts"":497762,""unallocated_avg_shares"":5238.905340303197,""unallocated_avg_amount_wan"":6.621976350143241,""unallocated_cap_shares"":508100,""top_apply_below_guaranteed"":true,""buckets"":[{""allocated_lots"":1,""accounts"":101647,""threshold_shares"":508100,""threshold_amount_wan"":642.2384,""basis"":""top_apply_time_priority""}]}",time_priority_label_with_account_gap,0.85,true,"{""allocated_account_residual"":-1,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.010311}",1,6.621976,true,actual,true,false,true,ready_fractional,SUBSCRIPTION_AMOUNT_DISTRIBUTION/FRACTIONAL_THRESHOLD_SHARES|FRACTIONAL_TIME_PRIORITY_REQUIRED,true,true,true,true,920166_海圣医疗_招股说明书.pdf,920166_海圣医疗_发行公告.pdf,920166_海圣医疗_发行结果公告.pdf,920166_海圣医疗_上市公告书.pdf,,
920168,通宝光电,2026-02-09,2026-02-12,2026-02-26,16.17,1879.34,16914060,ONLINE_ISSUE_NUM,2.735004,1367.4969,replay_dataset,845700,606727,76346,54935510800,issue_result:result,8883.072096,0.030789,3247.919825,3,324800,525.2016,true,false,,,505200,816.9084,model_estimate_without_distribution,false,none,[],0,"{""available"":true,""method"":""account_lot_equation"",""fit_quality"":""rough_lot_account_fit"",""fit_confidence"":0.7,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.034682},""allocated_accounts"":76346,""allocated_lots_total"":169141,""average_lots_per_allocated_account"":2.2154533308883244,""unallocated_accounts"":530381,""unallocated_avg_shares"":11261.343637875414,""unallocated_avg_amount_wan"":18.209592662444546,""unallocated_cap_shares"":324700,""residual_over_cap_shares"":0.0,""top_apply_below_guaranteed"":false,""buckets"":[{""allocated_lots"":3,""accounts"":46397,""threshold_shares"":845700,""threshold_amount_wan"":1367.4969,""basis"":""compressed_extra_lots""},{""allocated_lots"":2,""accounts"":1,""threshold_shares"":649600,""threshold_amount_wan"":1050.4032000000002,""basis"":""compressed_extra_lots""},{""allocated_lots"":1,""accounts"":29948,""threshold_shares"":324700,""threshold_amount_wan"":525.0399000000001,""basis"":""fractional_cutoff_estimate""}]}",rough_lot_account_fit,0.7,true,"{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.034682}",3,18.209593,true,actual,true,true,true,ready_guaranteed,SUBSCRIPTION_AMOUNT_DISTRIBUTION/FRACTIONAL_THRESHOLD_SHARES|FRACTIONAL_TIME_PRIORITY_REQUIRED,true,true,true,true,920168_通宝光电_招股说明书.pdf,920168_通宝光电_发行公告.pdf,920168_通宝光电_发行结果公告.pdf,920168_通宝光电_上市公告书.pdf,,
920187,通领科技,2026-02-11,2026-02-24,2026-03-05,29.62,1560,14040000,ONLINE_ISSUE_NUM,4.158648,2079.324,replay_dataset,702000,523850,58344,28329476300,issue_result:result,8391.19088,0.04956,2017.768967,13,201800,597.7316,true,false,,,702000,2079.324,model_estimate_without_distribution,true,fractional_cutoff,[],0,"{""available"":true,""method"":""account_lot_equation"",""fit_quality"":""rough_lot_account_fit"",""fit_confidence"":0.7,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.030644},""allocated_accounts"":58344,""allocated_lots_total"":140400,""average_lots_per_allocated_account"":2.406417112299465,""unallocated_accounts"":465506,""unallocated_avg_shares"":6180.985637134645,""unallocated_avg_amount_wan"":18.308079457192818,""unallocated_cap_shares"":201700,""residual_over_cap_shares"":0.0,""top_apply_below_guaranteed"":false,""buckets"":[{""allocated_lots"":4,""accounts"":27352,""threshold_shares"":702000,""threshold_amount_wan"":2079.324,""basis"":""compressed_extra_lots""},{""allocated_lots"":1,""accounts"":30992,""threshold_shares"":201700,""threshold_amount_wan"":597.4354,""basis"":""fractional_cutoff_estimate""}]}",rough_lot_account_fit,0.7,true,"{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.030644}",2,18.308079,true,actual,true,true,true,ready_guaranteed,SUBSCRIPTION_AMOUNT_DISTRIBUTION/FRACTIONAL_THRESHOLD_SHARES|FRACTIONAL_TIME_PRIORITY_REQUIRED,true,true,true,true,920187_通领科技_招股说明书.pdf,920187_通领科技_发行公告.pdf,920187_通领科技_发行结果公告.pdf,920187_通领科技_上市公告书.pdf,,
920183,海菲曼,2026-02-24,2026-02-27,2026-03-04,19.71,1052.702,9474318,ONLINE_ISSUE_NUM,1.867388,933.6627,replay_dataset,473700,558082,61060,36591717500,issue_result:result,7212.227519,0.025892,3862.200688,3,386300,761,true,false,,,473700,933.6627,manual_ladder,true,fractional_cutoff,[],0,"{""available"":true,""method"":""account_lot_equation"",""fit_quality"":""rough_lot_account_fit"",""fit_confidence"":0.7,""fit_usable_for_tuning"":true,""fit_residuals"":{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.052426},""allocated_accounts"":61060,""allocated_lots_total"":94743,""average_lots_per_allocated_account"":1.5516377333770062,""unallocated_accounts"":497022,""unallocated_avg_shares"":20246.755676811088,""unallocated_avg_amount_wan"":39.90635543899466,""unallocated_cap_shares"":386200,""residual_over_cap_shares"":0.0,""top_apply_below_guaranteed"":false,""buckets"":[{""allocated_lots"":2,""accounts"":33683,""threshold_shares"":473700,""threshold_amount_wan"":933.6627,""basis"":""compressed_extra_lots""},{""allocated_lots"":1,""accounts"":27377,""threshold_shares"":386200,""threshold_amount_wan"":761.2002,""basis"":""fractional_cutoff_estimate""}]}",rough_lot_account_fit,0.7,true,"{""allocated_account_residual"":0,""allocated_lot_residual"":0,""valid_subscription_balance_residual_shares"":0.0,""unallocated_avg_over_cap_shares"":0.0,""unallocated_avg_under_zero_shares"":0.0,""unallocated_cap_utilization"":0.052426}",2,39.906355,true,actual,true,true,true,manual_ladder,,true,true,true,true,920183_海菲曼_招股说明书.pdf,920183_海菲曼_发行公告.pdf,920183_海菲曼_发行结果公告.pdf,920183_海菲曼_上市公告书.pdf,,
